#p*n,a(rad),a(deg),sin(),cos()
pi*0,0.0000,0.0000,0.0000,1.0000
pi/6,0.5236,30.0000,0.5000,0.8660
pi/4,0.7854,45.0000,0.7071,0.7071
pi/3,1.0472,60.0000,0.8660,0.5000
pi/2,1.5708,90.0000,1.0000,-0.0000
pi*2/3,2.0944,120.0000,0.8660,-0.5000
pi*3/4,2.3562,135.0000,0.7071,-0.7071
pi*5/6,2.6180,150.0000,0.5000,-0.8660
pi,3.1416,180.0000,-0.0000,-1.0000
pi*7/6,3.6652,210.0000,-0.5000,-0.8660
pi*5/4,3.9270,225.0000,-0.7071,-0.7071
pi*3/2,4.7124,270.0000,-1.0000,0.0000
pi*5/3,5.2360,300.0000,-0.8660,0.5000
pi*7/4,5.4978,315.0000,-0.7071,0.7071
pi*11/16,5.7596,330.0000,-0.5000,0.8660
2*pi,6.2832,360.0000,0.0000,1.0000
